COD_LOC;NOMBRE_LOC;CP;POBLACION;OFICINA;PROVINCIA;COD_PROY;ID_EVALUACION;Fecha de ejecucion;COD_AUDITOR;RESULTADO;TITULO_CUESTIONARIO
32;COMUNICACIONES MOVILES DE MALL;7200;FELANITX;901;BALEARES;0457_003;1964398;10/03/2014;A33663;0,9711;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
32;COMUNICACIONES MOVILES DE MALL;7200;FELANITX;901;BALEARES;0457_003;1964399;10/03/2014;A33663;0,9419;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
32;COMUNICACIONES MOVILES DE MALL;7200;FELANITX;901;BALEARES;0457_003;1964400;10/03/2014;A33663;0,9925;ESPECIALISTAS PROCESOS - P6 (13.14)
37;COMUNICACIONES MOVILES DE MALL;7500;MANACOR;901;BALEARES;0457_003;1964401;11/03/2014;A33663;1;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
37;COMUNICACIONES MOVILES DE MALL;7500;MANACOR;901;BALEARES;0457_003;1964402;11/03/2014;A33663;0,9833;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
37;COMUNICACIONES MOVILES DE MALL;7500;MANACOR;901;BALEARES;0457_003;1964403;11/03/2014;A33663;1;ESPECIALISTAS PROCESOS - P6 (13.14)
38;COMUNICACIONES MOVILES DE MALL;7013;PALMA DE MALLORCA;901;BALEARES;0457_003;1964404;17/03/2014;A29667;0,9414;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
38;COMUNICACIONES MOVILES DE MALL;7013;PALMA DE MALLORCA;901;BALEARES;0457_003;1964405;17/03/2014;A29667;0,9071;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
38;COMUNICACIONES MOVILES DE MALL;7013;PALMA DE MALLORCA;901;BALEARES;0457_003;1964406;17/03/2014;A29667;0,985;ESPECIALISTAS PROCESOS - P6 (13.14)
208;AIR MOVIL BALEAR, S.L;7620;LLUCMAJOR;901;BALEARES;0457_003;1964407;10/03/2014;A33663;0,9531;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
208;AIR MOVIL BALEAR, S.L;7620;LLUCMAJOR;901;BALEARES;0457_003;1964408;10/03/2014;A33663;0,9419;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
208;AIR MOVIL BALEAR, S.L;7620;LLUCMAJOR;901;BALEARES;0457_003;1964409;10/03/2014;A33663;0,985;ESPECIALISTAS PROCESOS - P6 (13.14)
224;SISCOM MOVIL, S.L;7600;ARENAL DE LLUCMAJOR;901;BALEARES;0457_003;1964410;10/03/2014;A33663;0,9913;RESUMEN ESPECIALISTAS PEC - P6 (13.14)
224;SISCOM MOVIL, S.L;7600;ARENAL DE LLUCMAJOR;901;BALEARES;0457_003;1964411;10/03/2014;A33663;0,9833;ESPECIALISTAS NUEVA IMAGEN - P6 (13.14)
224;SISCOM MOVIL, S.L;7600;ARENAL DE LLUCMAJOR;901;BALEARES;0457_003;1964412;10/03/2014;A33663;1;ESPECIALISTAS PROCESOS - P6 (13.14)
